USER_ID,ITEM_ID,EVENT_TYPE,TIMESTAMP
u0039,i1049,view,1766013118
u0060,i1015,view,1766171896
u0098,i1075,view,1766112595
u0029,i1027,add_to_cart,1764861494
u0099,i1038,view,1765004757
u0015,i1058,view,1765934718
u0053,i1033,view,1764976321
u0066,i1077,view,1766546050
u0049,i1006,view,1766206139
u0077,i1015,view,1765668013
u0019,i1099,add_to_cart,1765071200
u0059,i1052,add_to_cart,1766651557
u0091,i1052,purchase,1766814977
u0072,i1046,view,1765709602
u0039,i1056,add_to_cart,1764690625
u0007,i1073,add_to_cart,1765836729
u0039,i1060,purchase,1764766043
u0031,i1018,view,1764695705
u0084,i1049,add_to_cart,1765503218
u0046,i1059,view,1765250440
u0092,i1095,view,1765984824
u0053,i1014,purchase,1764888220
u0099,i1025,add_to_cart,1767090069
u0070,i1043,purchase,1765341330
u0030,i1002,view,1764802817
u0098,i1099,add_to_cart,1765866218
u0054,i1062,view,1765490528
u0051,i1086,add_to_cart,1765479821
u0065,i1042,view,1766411408
u0056,i1043,view,1765199649
u0042,i1059,view,1767025024
u0018,i1099,view,1766134516
u0001,i1053,add_to_cart,1766852305
u0092,i1042,add_to_cart,1765072853
u0039,i1079,add_to_cart,1765912471
u0047,i1070,view,1767108610
u0046,i1079,view,1765885741
u0058,i1077,purchase,1765594197
u0031,i1080,view,1764633845
u0013,i1066,view,1766533373
u0073,i1074,view,1766778664
u0007,i1061,purchase,1765019865
u0043,i1096,view,1765942793
u0071,i1081,view,1764838955
u0080,i1064,view,1766469316
u0067,i1074,add_to_cart,1766707805
u0058,i1055,view,1764942405
u0006,i1094,purchase,1765857367
u0063,i1042,view,1764750365
u0027,i1084,view,1766446425
u0038,i1081,view,1765412917
u0021,i1072,add_to_cart,1765514088
u0075,i1005,view,1765299115
u0020,i1025,purchase,1765837143
u0097,i1051,view,1764655848
u0047,i1073,add_to_cart,1766352196
u0032,i1074,view,1766125195
u0099,i1029,add_to_cart,1766939133
u0068,i1062,view,1764703350
u0007,i1029,view,1764795906
u0071,i1015,add_to_cart,1765754481
u0047,i1072,purchase,1767049998
u0008,i1003,view,1765863854
u0098,i1016,add_to_cart,1766415687
u0019,i1035,view,1766086658
u0026,i1055,purchase,1766876541
u0026,i1012,view,1766631248
u0049,i1016,view,1767135787
u0075,i1100,view,1766830342
u0003,i1042,add_to_cart,1765554080
u0099,i1096,view,1766353988
u0041,i1052,view,1766077057
u0072,i1058,purchase,1767179872
u0070,i1031,view,1765335060
u0083,i1087,view,1765871942
u0053,i1004,view,1766231922
u0005,i1049,add_to_cart,1764829456
u0037,i1069,view,1765722121
u0100,i1075,add_to_cart,1766501301
u0057,i1071,view,1765021108
u0055,i1001,view,1765840863
u0038,i1083,purchase,1766166307
u0029,i1094,add_to_cart,1766137471
u0099,i1061,view,1766752529
u0011,i1024,view,1765979409
u0088,i1027,view,1766622234
u0074,i1024,view,1764699608
